"id","op_id","sortid","名称","効果","付加係数","要求レベル上昇","ネックレス","ヘルメット","冠","イヤリング","マント","ベルト","グローブ","投擲機","爪","ブレスレット","共用鎧","専用鎧","ブーツ","リング","片手剣","両手剣","槍","弓","杖","牙","メイス","翼","笛","短剣","格闘武器","スリング","ワンド","鞭","鎌","爪武器","本","双剣","ほうき","ダークコア","双拳銃","錬金石","チェインアンカー","盾","鞘","矢","腕刺青","ブローチ","獣毛装飾","十字架","肩刺青","マスターキー","保護帯","スリング弾丸","星群","契約霊","ウォーペイント","コサージュ","魔弾石","触媒石","ラム酒","宝石"
"28","2","309","[健康Lv9]","健康 [31~50] 増加","70","79","","","","","","●","","","●","","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"29","2","310","[健康Lv10]","健康 [51~100] 増加","50","100","","","","","","●","","","","","","","","","●","","","●","","●","●","","","","●","●","","","","●","","","","●","●","●","","","","","","","","","","","","","","","","","","","",""
"494","2","311","[健康Lv1 DX]","健康 [101~150] 増加","25","250","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","●","●","●","","","","","","","","","","","","","","","","","","","",""
"575","2","312","[健康Lv1 ULT]","健康 [151~200] 増加","25","350","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","●","●","●","","","","","","","","","","","","","","","","","","","",""
"908","2","30063","[トゥンガ]","健康 250 増加","100","0","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","●","●","●","","","","","","","","","","","","","","","","","","","",""
"30","3","401","[知恵Lv1]","知恵 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"31","3","402","[知恵Lv2]","知恵 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"32","3","403","[知恵Lv3]","知恵 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"33","3","404","[知恵Lv4]","知恵 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"34","3","405","[知恵Lv5]","知恵 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"35","3","406","[知恵Lv6]","知恵 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"36","3","407","[知恵Lv7]","知恵 [16~20] 増加","95","44","●","","●","●","●","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"37","3","408","[知恵Lv8]","知恵 [21~30] 増加","85","60","●","","●","●","","","","","●","","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"38","3","409","[知恵Lv9]","知恵 [31~50] 増加","70","79","●","","","","","","","","●","","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"39","3","410","[知恵Lv10]","知恵 [51~100] 増加","50","100","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"495","3","411","[知恵Lv1 DX]","知恵 [101~150] 増加","25","250","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"576","3","412","[知恵Lv1 ULT]","知恵 [151~200] 増加","25","350","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"909","3","30064","[マファス]","知恵 250 増加","100","0","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"40","4","501","[知識Lv1]","知識 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"41","4","502","[知識Lv2]","知識 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"42","4","503","[知識Lv3]","知識 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"43","4","504","[知識Lv4]","知識 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"44","4","505","[知識Lv5]","知識 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"45","4","506","[知識Lv6]","知識 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"46","4","507","[知識Lv7]","知識 [16~20] 増加","95","44","●","","●","●","●","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"47","4","508","[知識Lv8]","知識 [21~30] 増加","85","60","●","","●","●","","","","","●","","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"48","4","509","[知識Lv9]","知識 [31~50] 増加","70","79","","","●","","","","","","●","","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"49","4","510","[知識Lv10]","知識 [51~100] 増加","50","100","","","●","","","","","","","","","","","","","","","","●","","","","●","","","","","","","","●","","","","","","","","","","","","","","","","","","","","","","","","",""
"496","4","511","[知識Lv1 DX]","知識 [101~150] 増加","25","250","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","","","","","","","","","","","","","","","","","","","","","","",""
"577","4","512","[知識Lv1 ULT]","知識 [151~200] 増加","25","350","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","","","","","","","","","","","","","","","","","","","","","","",""
"910","4","30065","[ティレン]","知識 250 増加","100","0","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","5","601","[威厳Lv1]","カリスマ 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"51","5","602","[威厳Lv2]","カリスマ [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"52","5","603","[威厳Lv3]","カリスマ [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"53","5","604","[威厳Lv4]","カリスマ [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"54","5","605","[威厳Lv5]","カリスマ [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"55","5","606","[威厳Lv6]","カリスマ [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"56","5","607","[威厳Lv7]","カリスマ [16~20] 増加","95","44","●","","●","●","●","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"57","5","608","[威厳Lv8]","カリスマ [21~30] 増加","85","60","●","","●","●","●","","","","●","","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"58","5","609","[威厳Lv9]","カリスマ [31~50] 増加","70","79","","","●","","","","","","●","","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"59","5","610","[威厳Lv10]","カリスマ [51~100] 増加","50","100","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"497","5","611","[威厳Lv1 DX]","カリスマ [101~150] 増加","25","250","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"578","5","612","[威厳Lv1 ULT]","カリスマ [151~200] 増加","25","350","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"911","5","30066","[ジム・モリ]","カリスマ 250 増加","100","0","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"60","6","701","[運Lv1]","運 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"61","6","702","[運Lv2]","運 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"62","6","703","[運Lv3]","運 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"63","6","704","[運Lv4]","運 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"64","6","705","[運Lv5]","運 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"65","6","706","[運Lv6]","運 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"66","6","707","[運Lv7]","運 [16~20] 増加","95","44","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"67","6","708","[運Lv8]","運 [21~30] 増加","85","60","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"68","6","709","[運Lv9]","運 [31~50] 増加","70","79","●","●","●","●","●","●","●","●","●","●","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"69","6","710","[運Lv10]","運 [51~100] 増加","50","100","●","●","●","","","●","●","●","●","●","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"498","6","711","[運Lv1 DX]","運 [101~150] 増加","25","250","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"579","6","712","[運Lv1 ULT]","運 [151~200] 増加","25","350","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912","6","30067","[ハーソン]","運 250 増加","100","0","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","7","801","[力固定]","力固定 [35~120]","10","30","","●","","","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"499","7","811","[力固定 DX]","力固定 [50~150]","10","230","","","","","","","●","","","","","","","","●","","●","","","●","●","","","","●","","","","","●","","","","","","","","","","","","","","","","","","","","","","","","","",""
"580","7","821","[力固定 ULT]","力固定 [100~200]","10","330","","","","","","","●","","","","","","","","●","","●","","","●","●","","","","●","","","","","●","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","8","802","[敏捷固定]","敏捷固定 [35~120]","10","30","","●","","","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"500","8","812","[敏捷固定 DX]","敏捷固定 [50~150]","10","230","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"581","8","822","[敏捷固定 ULT]","敏捷固定 [100~200]","10","330","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"72","9","803","[健康固定]","健康固定 [35~120]","10","30","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"501","9","813","[健康固定 DX]","健康固定 [50~150]","10","230","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"582","9","823","[健康固定 ULT]","健康固定 [100~200]","10","330","","","","","","●","","","","","","","","","","","","●","","●","●","","","","","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"73","10","804","[知恵固定]","知恵固定 [35~120]","10","30","●","●","●","●","","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"502","10","814","[知恵固定 DX]","知恵固定 [50~150]","10","230","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"583","10","824","[知恵固定 ULT]","知恵固定 [100~200]","10","330","●","","","","","","","","","","","","","","","","","","","","","●","●","","","","●","●","","","","●","●","","","","","","","","","","","","","","","","","","","","","","",""
"74","11","805","[知識固定]","知識固定 [35~120]","10","30","●","●","●","●","","","","●","●","●","●","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"503","11","815","[知識固定 DX]","知識固定 [50~150]","10","230","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","●","","●","","","","","","","","","","","","","","","","","","","",""
"584","11","825","[知識固定 ULT]","知識固定 [100~200]","10","330","","","●","","","","","","","","","","","","","","","","●","","","●","●","","","","●","","","","●","","","●","","●","","","","","","","","","","","","","","","","","","","",""
"75","12","806","[威厳固定]","カリスマ固定 [35~120]","10","30","●","●","●","●","","","","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"504","12","816","[威厳固定 DX]","カリスマ固定 [50~150]","10","230","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"585","12","826","[威厳固定 ULT]","カリスマ固定 [100~200]","10","330","","","●","","","","","","","","","","","","","","","","●","","","●","","","","","●","●","","","●","●","●","●","","●","","","","","","","","","","","","","","","","","","","",""
"76","13","807","[運固定]","運固定 [35~120]","10","30","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","●","","","","","","","●","●","","","","","●"
"505","13","817","[運固定 DX]","運固定 [50~150]","10","230","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"586","13","827","[運固定 ULT]","運固定 [100~200]","10","330","●","●","●","","","","●","●","●","●","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
