"id","name","type","begin_year","begin_month","begin_day","end_year","end_month","end_day","str_unknown1","unknown1","str_unknown2","unknown2_0","unknown2_1","unknown2_2","unknown2_3","str_progress","unknown2_69","unknown2_70","unknown2_71","unknown2_72","has_extra","unknown2_74","unknown2_75","unknown2_76","unknown2_77","unknown2_78","unknown2_79","text1","text2","text3","text4","text5","text6","extra_0","extra_1","extra_2","extra_3","extra_4","extra_5","extra_6","extra_7","extra_8","extra_9","extra_10","extra_11","extra_12","extra_13","extra_14","extra_15"
"10","1. オート地下監獄の探索","0","0","0","0","0","0","0","","3","ケブティス","35","9999","35","9999","","511","75","3","0","0","0","0","0","0","0","0","field 18;
monster 18 'ファイアブロアー'
monster 18 'シーフ'
monster 18 '斧槍兵'
monster 18 '食人スコーピオン'
monster 18 'アサシントレニー'
monster 18 'デススティック'
_codeEnd
ブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>が<c:LTRED>RED STONEに関する手がかりの探索<n>を依頼した。東プラトン街道 / イースタンブリッジ付近にあるオート地下監獄B1に行き、モンスターを倒して落ちる品物から、RED STONEに関わる物などを探してあげよう。","field 74;
npc 74 'ケブティス';
_codeEnd
<c:GOLDYELLOW>速達電報の巻物<n>を獲得した。これをブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>に渡そう。","","","","","","","","","","","","","","","","","","","",""
"11","2. オート地下監獄の再探索","0","0","0","0","0","0","0","","3","ケブティス","35","9999","35","9999","","511","75","3","0","0","0","0","0","0","0","0","field 18;
monster 18 'ファイアブロアー'
monster 18 'シーフ'
monster 18 '斧槍兵'
monster 18 '食人スコーピオン'
monster 18 'アサシントレニー'
monster 18 'デススティック'
_codeEnd
ブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>が<c:LTRED>RED STONEに関する手がかりの探索<n>を依頼した。ブルンネンシュティグ北東の方にあるオート地下監獄B1に行き、モンスターを倒して落ちる品物から、RED STONEに関わる物などを探してあげよう。","field 74;
npc 74 'ケブティス';
_codeEnd
RED STONEに関する手がかりの内の一つである<c:GOLDYELLOW>ぼろぼろの文書ファイル<n>を獲得した。これをブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>に渡そう。","","","","","","","","","","","","","","","","","","","",""
"12","3. 路上強盗団アジトの探索","0","0","0","0","0","0","0","","3","ケブティス","35","9999","35","9999","","511","75","3","0","0","0","0","0","0","0","0","field 32;
monster 32 'シーフ'
monster 32 'コボルト'
monster 32 'スリップワーカー'
monster 32 'コボルトナイト'
_codeEnd
ブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>が<c:LTRED>RED STONEに関する手がかりの探索<n>を依頼した。ブルンネンシュティグ北東の方にある路上強盗団アジト1Fに行き、モンスターを倒して落ちる品物から、RED STONEに関わる物などを探してあげよう。","field 74;
npc 74 'ケブティス';
_codeEnd
RED STONEに関する手がかりの中の一つである<c:GOLDYELLOW>レッドアイ支部用の羊皮紙<n>を獲得した。これをブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>に渡そう。","","","","","","","","","","","","","","","","","","","",""
"13","3-1. 筆写家-タティ","0","0","0","0","0","0","0","","0","タティ","35","9999","35","9999","","511","75","3","0","0","0","0","0","0","0","0","field 105;
npc 105 'タティ';
_codeEnd
路上強盗団アジトで探し出した<c:GOLDYELLOW>レッドアイ支部用羊皮紙<n>の秘密を筆写家<c:GREEN>タティ<n>に伝えよう。","","","","","","","","","","","","","","","","","","","","",""
"14","4. 路上強盗団アジト地下の探索","0","0","0","0","0","0","0","","3","ケブティス","35","9999","35","9999","","511","75","3","0","0","0","0","0","0","0","0","field 34;
monster 34 'ロバー'
monster 34 'ファミリア'
monster 34 'ジャンキー'
monster 34 'ボスファミリア'
_codeEnd
ブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>が<c:LTRED>RED STONEに関する手がかりの探索<n>を依頼した。ブルンネンシュティグ北東の方にある路上強盗団アジトB2-B3のモンスターを倒して、落ちる品物からRED STONEに関わる物などを探してあげよう。","field 74;
npc 74 'ケブティス';
_codeEnd
RED STONEに関する手がかりの内の一つである<c:GOLDYELLOW>濡れた本<n>を獲得した。これをブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>に渡そう。","","","","","","","","","","","","","","","","","","","",""
"15","5. 路上強盗団アジトの再探索","0","0","0","0","0","0","0","","3","ケブティス","35","9999","35","9999","","511","75","3","0","0","0","0","0","0","0","0","field 34;
monster 34 'ロバー'
monster 34 'ファミリア'
monster 34 'ジャンキー'
monster 34 'ボスファミリア'
_codeEnd
ブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>がRED STONEに関する手がかりの探索を依頼した。ブルンネンシュティグ北東の方にある路上強盗団アジトB2に行き、モンスターを倒して落ちる品物から、RED STONEに関わる物などを探してあげよう。","field 74;
npc 74 'ケブティス';
_codeEnd
RED STONEに関する手がかりの内の一つである<c:GOLDYELLOW>赤い石版<n>を獲得した。これをブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>に渡そう。","","","","","","","","","","","","","","","","","","","",""
"16","6. ハノブ高台望楼の探索","0","0","0","0","0","0","0","","3","ケブティス","35","9999","35","9999","","511","75","3","0","0","0","0","0","0","0","0","field 57;
monster 57 'ゾンビ'
monster 57 'ブラックメイジ'
monster 57 'ゾンビド'
_codeEnd
ブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>がRED STONEに関する手がかりの探索を依頼した。ブルンネンシュティグ北東の方にある、ハノブ高台望楼B1に行き、モンスターを倒して落ちる品物から、RED STONEに関わる物などを探してあげよう。","field 74;
npc 74 'ケブティス';
_codeEnd
RED STONEに関する手がかりの中の一つである<c:GOLDYELLOW>やや濁っている水晶玉<n>を獲得した。これをブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>に渡そう。","","","","","","","","","","","","","","","","","","","",""
"17","7. 砂漠の傭兵","0","0","0","0","0","0","0","","3","グレイツ","35","9999","35","9999","","511","75","3","0","0","0","0","0","0","0","0","field 195;
npc 195 'グレイツ';
_codeEnd
プラトン街道の北西側の端にあるオアシス都市アリアンに行こう。そこの傭兵団クロマティガードの隊員募集担当<c:GREEN>グレイツ<n>が傭兵を募集している。ただし、<c:YELLOW>42レベル以上<n>であればこそ、グレイツとまともな会話ができるようだ。","field 57;
monster 57 'ゾンビ'
monster 57 'ブラックメイジ'
monster 57 'ゾンビド'
_codeEnd
ブリッジヘッドのギルド組合長<c:GREEN>ケブティス<n>がRED STONEに関する手がかりの探索を依頼した。ブルンネンシュティグ北東の方にある、ハノブ高台望楼B1に行き、モンスターを倒して落ちる品物から、RED STONEに関わる物などを探してあげよう。","","","","","","","","","","","","","","","","","","","",""
"18","1. グレイツのうわさ集め","0","0","0","0","0","0","0","","3","グレイツ","42","9999","42","9999","","511","75","4","0","0","0","0","0","0","0","0","field 193;
npc 193 'ドゥムガ';
_codeEnd
アリアン傭兵団クロマティガードの隊員募集担当<c:GREEN>グレイツ<n>が、奇妙なうわさについての真相調査を依頼した。うっかり傭兵団所属になってしまい、おかしな状態ではあるが、とにかくアリアン東門の警備兵<c:GREEN>ドゥムガ<n>に会って事情を聞いてみよう。","field 195;
npc 195 'グレイツ';
_codeEnd
調査が終わったらアリアン傭兵ギルドにいる<c:GREEN>グレイツ<n>のところに戻って報告しよう。","","","","","","","","","","","","","","","","","","","",""
"19","2. 奇妙なうわさの真相調査","0","0","0","0","0","0","0","","3","グレイツ","42","9999","42","9999","","511","75","4","0","0","0","0","0","0","0","0","field 195;
npc 195 'グレイツ';
_codeEnd
<c:GREEN>ドゥムガ<n>に聞いたことを<c:GREEN>グレイツ<n>に報告しよう。報告だとしても赤い悪魔が広めたデマであるようだという話が全てだが、それでもグレイツに聞いた内容を報告しよう。","","","","","","","","","","","","","","","","","","","","",""
"20","3. うわさの真実","0","0","0","0","0","0","0","","0","グレイツ","42","9999","42","9999","<c:GREEN>クロマティガード隊員<n>に報告 <c:YELLOW>%d<n>/10 人","511","75","68","255","0","0","0","0","0","0","0","field 193;
npc 193 'クロマティガード';
_codeEnd
アリアン内にいる全てのクロマティガード隊員に、街で流れているうわさが赤い悪魔による、たくらみであることを伝えよう。市内のクロマティガード隊員の内<c:YELLOW>10人<n>に内容を伝えなければならない。","field 195;
npc 195 'グレイツ';
_codeEnd
任務を果たした。<c:GREEN>グレイツ<n>に会って報告しよう。","","","","","","","","","","","","","","","","","","","",""
"21","3. あばかれた真実","0","0","0","0","0","0","0","","0","グレイツ","42","9999","42","9999","","511","75","68","0","0","0","0","0","0","0","0","field 158;
npc 158 'ペインシーカー';
_codeEnd
奇妙なうわさについて、もう少し詳しく事件の内幕が知りたければ、危険を覚悟しても警備兵墓の一番下層にいるダークリッチ<c:GREEN>ペインシーカー<n>に会ってみよう。しかし、とても危ないから危険度が高いことも事実だ。","field 195;
npc 195 'グレイツ';
_codeEnd
警備兵墓の最下層で会ったダークリッチ<c:GREEN>ペインシーカー<n>がアリアン傭兵団事件の真相について新しい内容を知らせてくれた。これが事実なら、大問題になりかねないから必ず確認しなければならない。<c:GREEN>グレイツ<n>にのもとに戻って事実の真偽、善悪を確認しよう。","","","","","","","","","","","","","","","","","","","",""
"22","4. 筆写家-クリスティラ","0","0","0","0","0","0","0","","3","グレイツ","42","9999","42","9999","","511","75","4","0","0","0","0","0","0","0","0","field 36;
npc 36 'クリスティラ';
_codeEnd
ハノブの筆写家<c:GREEN>クリスティラ<n>がRED STONEに関する手がかりを握っているという情報を聞いた。<c:YELLOW>50レベル以上<n>になったら<c:GREEN>クリスティラに会って<c:GOLDYELLOW>アイノの報告書<n>について聞いてみよう。","","","","","","","","","","","","","","","","","","","","",""
"23","1. 一番目アイノの報告書探索","0","0","0","0","0","0","0","","3","クリスティラ","50","9999","50","9999","","511","75","5","0","0","0","0","0","0","0","0","field 41;
monster 41 'ソードスパイダー'
monster 41 'ブラックメイジ'
monster 41 'ウィーブウィドウ'
_codeEnd
ハノブの筆写家<c:GREEN>クリスティラ<n>が<c:GOLDYELLOW>アイノの報告書<n>探索を頼んだ。今回探索する所はエルベルグ山脈 / ハノブ西部地域の廃坑。廃坑B5を中心にB3・B4・B6のモンスターを狩ろう。","field 36;
npc 36 'クリスティラ';
_codeEnd
<c:GOLDYELLOW>アイノの報告2ページ<n>を探し出した。<c:GREEN>クリスティラ<n>の所に戻ろう。","field 36;
npc 36 'クリスティラ'
_codeEnd
アイノの報告書の探索に行くの準備ができたら鉱山町ハノブにいる<c:GREEN>クリスティラ<n>を訪ねよう。","","","","","","","","","","","","","","","","","","",""
"24","2. 二番目アイノの報告書探索","0","0","0","0","0","0","0","","3","クリスティラ","50","9999","50","9999","","511","75","5","0","0","0","0","0","0","0","0","field 67;
monster 67 'コロッサス'
monster 67 '鷲狂戦士'
monster 67 'イリュージョン'
_codeEnd
ハノブの筆写家<c:GREEN>クリスティラ<n>が<c:GOLDYELLOW>アイノの報告書の紙切れ<n>探索を本格的に開始してくれという依頼をした。今回探索しなければならない場所はハノブの鉄鉱山B5。アイノの報告書の紙切れはモンスターが隠していると言う。アイノの報告書3を探し出したら必ずアイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。","field 36;
npc 36 'クリスティラ';
_codeEnd
<c:GOLDYELLOW>アイノの報告3ページ<n>を探し出した。見つけたアイノの報告書3をアイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。","","","","","","","","","","","","","","","","","","","",""
"25","3. 三番目アイノの報告書探索","0","0","0","0","0","0","0","","3","クリスティラ","50","9999","50","9999","","511","75","5","0","0","0","0","0","0","0","0","field 55,96,48;
_codeEnd
ハノブの筆写家<c:GREEN>クリスティラ<n>が、ハノブ高台望楼、ハノブ南側望楼、キャンサー気孔B2のモンスターが隠している<c:GOLDYELLOW>アイノの報告書の紙切れ<n>を探して来てくれと言う。アイノの報告書の一部を全部探し出したら必ずアイノの報告書(未確認)に保管した後、クリスティラの所に戻ろう。各ダンジョンのモンスターは、下のアイノの報告書の紙切れを隠しているらしい。

<c:CYAN>ハノブ高台望楼 - アイノの報告書5 <n>
<c:CYAN>ハノブ南側望楼 - アイノの報告書6 <n>
<c:CYAN>キャンサー気孔B2 - アイノの報告書7 <n>","field 36;
npc 36 'クリスティラ';
_codeEnd
<c:GOLDYELLOW>アイノの報告書5・6・7ページ<n>を探し出した。見つけたアイノの報告書5・6・7ページをアイノの報告書(未確認)に保管した後、クリスティラの所に戻ろう。","","","","","","","","","","","","","","","","","","","",""
"26","4. 四番目アイノの報告書探索","0","0","0","0","0","0","0","","3","クリスティラ","50","100","50","9999","","511","75","5","255","0","0","0","0","0","0","0","field 204,212,213;
monster 204 'ブラウンベアー'
_codeEnd
ハノブの筆写家<c:GREEN>クリスティラ<n>が、再度<c:GOLDYELLOW>アイノの報告書の紙切れ<n>探索を依頼した。今回探索する位置は、ヘムクロス高原の南部地域とヘムクロス高原 / アラク湖付近から行くことができるタワー洞窟地下道１F、タワー洞窟地下道２Fだという。タワー洞窟地下道１Fでは、周辺の花を確認しよう。また、タワー洞窟地下道２Fでは、たいまつをよく探してみよう。ヘムクロス高原の南部地域では、<c:CTPURPLE>ブラウンベアー<n>を詳しく調査しよう。アイノの報告書9・10・11・12を探し出したら、必ずアイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。

<c:CYAN>ヘムクロス高原の南部地域 - アイノの報告書9, 11 - ブラウンベアー退治<n>
<c:CYAN>タワー洞窟地下道１F - アイノの報告書10 - 周辺の花確認<n>
<c:CYAN>タワー洞窟地下道２F - アイノの報告書12 - たいまつ確認<n>","field 36;
npc 36 'クリスティラ';
_codeEnd
<c:GOLDYELLOW>アイノの報告書9・10・11・12ページ<n>を探し出した。見つけたアイノの報告書9・10・11・12はアイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。","","","","","","","","","","","","","","","","","","","",""
"27","5. 五番目アイノの報告書探索","0","0","0","0","0","0","0","","3","クリスティラ","50","9999","50","9999","","511","75","5","255","0","0","0","0","0","0","0","field 43,234,236,238;
npc 234 'ベルガ';
npc 236 'ドルムガ';
npc 238 'ドスル';
_codeEnd
<c:GOLDYELLOW>アイノの報告書<n>はどれくらい長いものか分からないけれど、未だに探索をしているのか？ハノブの筆写家<c:GREEN>クリスティラ<n>が今度は廃坑B7～B10とスウェブタワー1F～10Fの間での探索を依頼した。廃坑ではモンスターがアイノの報告書の一部を持っており、スウェブタワーではタワーに隠れている古の仙人が持っている。彼らは道の周辺にいるので、モンスターと戦う必要はない。アイノの報告書14・15・16・17を探し出したら必ずアイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。","field 36;
npc 36 'クリスティラ';
_codeEnd
<c:GOLDYELLOW>アイノの報告書14・15・16・17ページ<n>を探し出した。アイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。","","","","","","","","","","","","","","","","","","","",""
"28","6. 六番目アイノの報告書探索","0","0","0","0","0","0","0","","3","クリスティラ","50","9999","50","9999","","511","75","5","255","0","0","0","0","0","0","0","field 53,5,20,23;
monster 5 'イフリィト'
monster 20 'デスピンサー'
_codeEnd
<c:GOLDYELLOW>アイノの報告書<n>も終わりに近づいてきたようだ。探索する場所は、次の通り。キャンサー気孔B7とアルパス地下監獄B3では、すべてのモンスターを調査しよう。旧レッドアイ研究所B3ではイフリィトを、オート地下監獄B3ではデスピンサーを捜索する。アイノの報告書の紙切れをすべて探し出したら必ずアイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。探さなければならない報告書は19・20・21・22番目の報告書の紙切れだ。

<c:CYAN>キャンサー気孔B7 - すべてのモンスター退治<n>
<c:CYAN>アルパス地下監獄B3 - すべてのモンスター退治<n>
<c:CYAN>旧レッドアイ研究所B3 - イフリィト退治<n>
<c:CYAN>オート地下監獄B3 - デスピンサー退治<n>","field 36;
npc 36 'クリスティラ';
_codeEnd
<c:GOLDYELLOW>アイノの報告書19・20・21・22ページ<n>を探し出した。見つけたアイノの報告書はアイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。","","","","","","","","","","","","","","","","","","","",""
"29","7. 七番目アイノの報告書探索","0","0","0","0","0","0","0","","3","クリスティラ","50","9999","50","9999","","511","75","5","0","0","0","0","0","0","0","0","field 248,249,250;
npc 248 'アレックス'
npc 249 'ベイグノ'
npc 250 'スロムトグバイル'
_codeEnd
いよいよ最後の報告書の探索だ。スウェブタワーの最上層に向かおう。17F, 18F, 19Fをよく調査したら良いみたいだ。今回も、いにしえの仙人に会おう。いにしえの仙人は道の周辺にいるので、モンスターと戦う必要はない。アイノの報告書を探し出したら必ずアイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。探さなければならない報告書は全部で3つだ。","field 36; 
npc 36 'クリスティラ'
_codeEnd
<c:GOLDYELLOW>アイノの報告書 24・25・26 ページ<n>を探し出した。見つけたアイノの報告書は、アイノの報告書(未確認)に保管した後、<c:GREEN>クリスティラ<n>の所に戻ろう。","field 374;
npc 374 'ポテムスン'
_codeEnd
ビッグアイに住んでいる<c:GREEN>ポテムスン<n>を訪ねてクリスティラの推薦状を見せてあげよう。参考に、完成された<c:GOLDYELLOW>アイノの報告書<n>はケブティスとブローム、グレイツの内１人にだけ渡すことができる。誰に渡すかはあなたの選択だ。（選択する人によって報酬が変わるので、よく考えよう。）","","","","","","","","","","","","","","","","","","",""
"30","8. ブリッジヘッド・シーフギルドとの取り引き","0","0","0","0","0","0","0","","0","ケブティス","55","9999","55","9999","","511","75","69","0","0","0","0","0","0","0","0","field 74;
npc 74 'ケブティス';
_codeEnd
ブリッジヘッドのギルドマスター<c:GREEN>ケブティス<n>が<c:GOLDYELLOW>アイノの報告書<n>を欲しがっている。もう内容は分かっているので必要なければ<c:GREEN>ケブティス<n>にあげよう。報告書は1つだけだ。慎重でも果敢に決めた方が良いだろう。","","","","","","","","","","","","","","","","","","","","",""
"31","9. ブルンネンシュティグ議会との取り引き","0","0","0","0","0","0","0","","0","ロングッシュ","55","9999","55","9999","","511","75","69","255","1","0","0","0","0","0","0","field 0;
npc 0 'ロングッシュ';
_codeEnd
ブルンネンシュティグの国会議事堂の中にいる国会議員<c:GREEN>ブローム<n>に<c:GOLDYELLOW>アイノの報告書<n>を持っていけば、良いことがあるようだ。あげるのは自分の意思だが報告書は１つだけなのでよく考えよう。","","","","","","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","29.0","0.0","0.0","0.0","220.0","0.0","175.0","16.0"
"32","10. クロマティガードとの取り引き","0","0","0","0","0","0","0","","0","グレイツ","55","9999","55","9999","","511","75","69","0","0","0","0","0","0","0","0","field 193;
npc 193 'メカジャ';
_codeEnd
アリアン・クロマティガード新兵訓練担当将校である<c:GREEN>メカジャ<n>が<c:GOLDYELLOW>アイノの報告書<n>を欲しがっているようだ。１つだけの報告書だし、再び手に入れるのは夢のまた夢なので、よく考えて決めよう。","","","","","","","","","","","","","","","","","","","","",""
